id,name,type,sex,origin,genre,language,year,tracks,second year
Buff,Buff Love,1,2,2,99,99,99,99,99
BunB,Bun B,1,2,2,99,99,99,99,99
Burt,Burt Bacharach,1,2,2,99,99,99,99,99
busb,busbee,1,2,2,99,99,99,99,99
Bust,Busta Rhymes,1,2,2,99,99,99,99,99
Butc,Butch Walker,1,2,2,99,99,99,99,99
CCar,C. Carson Parks,1,2,2,99,99,99,99,99
Cait,Caitlyn Smith,1,1,2,99,99,99,99,99
Calv,Calvin Harris,1,2,1,99,99,99,99,99
Cam,Cam,1,1,2,99,99,99,99,99
Came,Camela Leierth,1,1,9,99,99,99,99,99
Camil,Camila Cabello,1,1,10,99,99,99,99,99
Cami,Camilla Anne Stewart,1,99,99,99,99,99,99,99
Cand,Candace Sosa,1,1,2,99,99,99,99,99
Candi,Candice Pillay,1,1,10,99,99,99,99,99
CaFi,Canei Finch,1,2,2,99,99,99,99,99
Cardi,Cardi B,1,1,2,99,99,99,99,99
Cardia,Cardiak,1,2,2,99,99,99,99,99
Cardo,Cardo,1,2,2,99,99,99,99,99
CAGM,"Carl ""Groove"" Martin",1,2,2,99,99,99,99,99
CarlF,Carl Falk,1,2,9,99,99,99,99,99
CarlM,Carl Marshall,1,99,99,99,99,99,99,99
CarlR,Carl Rosen,1,2,2,99,99,99,99,99
CarlT,Carl Thompson,1,99,99,99,99,99,99,99
Carla,Carla Marie,1,99,99,99,99,99,99,99
Caro,Caroline Ailin,1,1,10,99,99,99,99,99
CarolinePo,Caroline Polachek,1,1,2,99,99,99,99,99
CarolynLe,Carolyn Leigh,1,1,2,99,99,99,99,99
Cart,Carter Lang,1,2,99,99,99,99,99,99
CatD,Cat Daddy Ro,1,99,99,99,99,99,99,99
Caut,Cautious Clay,1,2,2,99,99,99,99,99
Cazz,Cazzi Opeia,1,1,9,99,99,99,99,99
Chanc,Chance the Rapper,1,2,2,99,99,99,99,99
Chan,Changes by Justin Bieber,2,55,55,7,1,2020,16,55
ChBr,Charles Bradley,1,2,2,99,99,99,99,99
CharlesS,Charles Still,1,2,2,99,99,99,99,99
ChJP,Charlie J. Perry,1,2,1,99,99,99,99,99
CheP,Che Pope,1,99,99,99,99,99,99,99
Chec,Cheche Alara,1,2,10,99,99,99,99,99
Chel,Chelcee Grimes,1,1,1,99,99,99,99,99
ChHa,Chester Hansen,1,2,7,99,99,99,99,99
CHIME,CHI-MEY (JPN),1,2,99,99,99,99,99,99
ChillyG,Chilly Gonzales,1,2,7,99,99,99,99,99
Chim,Chimey,1,99,99,99,99,99,99,99
ChIn,Chin Injeti,1,2,10,99,99,99,99,99
ChrisBra,Chris Braide,1,2,1,99,99,99,99,99
ChrisBro,Chris Brown,1,2,2,99,99,99,99,99
ChrisCas,Chris Caswell,1,2,2,99,99,99,99,99
Chri,Chris Gelbuda,1,2,2,99,99,99,99,99
ChrisGod,Chris Godbey,1,2,2,99,99,99,99,99
ChrisIv,Chris Ivery,1,2,2,99,99,99,99,99
ChrisJa,Chris James,1,2,3,99,99,99,99,99
ChrisJ,Chris Janey,1,99,99,99,99,99,99,99
ChrisM,Chris Martin,1,2,1,99,99,99,99,99
ChrisS,Chris Stapleton,1,2,2,99,99,99,99,99
ChristianL,Christian Lorenz,1,2,3,99,99,99,99,99
ChMe,Christian Medice,1,2,2,99,99,99,99,99
Christ,Christmas by Michael Bublé,2,55,55,13,1,2011,19,55
Chris,Christofer Erixon,1,2,9,99,99,99,99,99
Christo,Christoph Schneider,1,2,3,99,99,99,99,99
ChrisBec,Christophe Beck,1,2,7,99,99,99,99,99
ChuckB,Chuck Berry,1,2,2,99,99,99,99,99
ChuckyT,Chucky Thompson,1,2,2,99,99,99,99,99
Cirk,Cirkut,1,2,7,99,99,99,99,99
Clar,Clarence Coffee Jr.,1,2,2,99,99,99,99,99
Clau,Claude Kelly,1,2,2,99,99,99,99,99
Clay,Clay Wells Holley,1,2,99,99,99,99,99,99
ClSm,Claydes Smith,1,2,2,99,99,99,99,99
Clev,Clever,1,2,2,99,99,99,99,99
ClintBa,Clint Ballard,1,2,2,99,99,99,99,99
Clin,Clinton Sparks,1,2,2,99,99,99,99,99
Clyd,Clyde Kelly,1,2,2,99,99,99,99,99
CoMa,Conor Maynard,1,2,1,99,99,99,99,99
Cool,Cool,1,2,2,99,99,99,99,99
